n,pct_correct,metric_min,metric_max,metric_median
24,0.7916666666666666,1.596882159999825,3.0919319127598444,2.6846234353329748
23,0.8695652173913043,3.1097794237930496,3.717993511001347,3.446282880222153
23,0.8260869565217391,3.7220713153726983,4.206375475074753,3.9222980793815543
24,0.6666666666666666,4.231446321167395,4.957617832542423,4.572783405975257
23,0.9130434782608695,4.958658138876489,5.787214595912106,5.184435034789688
23,0.782608695652174,5.802831807970197,6.77760316528127,6.297742190729341
23,0.9130434782608695,6.85796563413121,8.752957041452373,7.861586318808472
24,0.875,8.896765606403546,11.62873320091918,9.674322377179761
23,0.9565217391304348,11.71139627756069,14.163147225538737,12.755382689313604
23,1.0,14.894380017389718,21.944464612568297,20.30965092079301
23,1.0,22.660441710258752,28.928233369701644,27.341777316562467
24,1.0,29.02272266328941,59.954562766076414,33.417237956720314
