el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.0012,-0.001075,-0.0012,0.000575,0.00045,0.00045,0,0,0
-0.0009,-0.000775,-0.0009,0.000575,0.00045,0.00045,0,0,0
-0.0006,-0.000475,-0.0006,0.000575,0.00045,0.00045,0,0,0
-0.0003,-0.000175,-0.0003,0.000575,0.00045,0.00045,0,0,0
0,0.000125,0,0.000575,0.00045,0.00045,0,0,0
0.0003,0.000425,0.0003,0.000575,0.00045,0.00045,0,0,0
0.0006,0.000725,0.0006,0.000575,0.00045,0.00045,0,0,0
0.0009,0.001025,0.0009,0.000575,0.00045,0.00045,0,0,0
0.0012,0.001325,0.0012,0.000575,0.00045,0.00045,0,0,0
0.0015,0.001625,0.0015,0.000575,0.00045,0.00045,0,0,0
0.0018,0.001925,0.0018,0.000575,0.00045,0.00045,0,0,0
-0.0015,-0.001375,-0.0015,0.000875,0.00075,0.00075,0,0,0
-0.0012,-0.001075,-0.0012,0.000875,0.00075,0.00075,0,0,0
-0.0009,-0.000775,-0.0009,0.000875,0.00075,0.00075,0,0,0
-0.0006,-0.000475,-0.0006,0.000875,0.00075,0.00075,0,0,0
-0.0003,-0.000175,-0.0003,0.000875,0.00075,0.00075,0,0,0
0,0.000125,0,0.000875,0.00075,0.00075,0,0,0
0.0003,0.000425,0.0003,0.000875,0.00075,0.00075,0,0,0
0.0006,0.000725,0.0006,0.000875,0.00075,0.00075,0,0,0
0.0009,0.001025,0.0009,0.000875,0.00075,0.00075,0,0,0
0.0012,0.001325,0.0012,0.000875,0.00075,0.00075,0,0,0
0.0015,0.001625,0.0015,0.000875,0.00075,0.00075,0,0,0
-0.0015,-0.001375,-0.0015,0.001175,0.00105,0.00105,0,0,0
-0.0012,-0.001075,-0.0012,0.001175,0.00105,0.00105,0,0,0
-0.0009,-0.000775,-0.0009,0.001175,0.00105,0.00105,0,0,0
-0.0006,-0.000475,-0.0006,0.001175,0.00105,0.00105,0,0,0
-0.0003,-0.000175,-0.0003,0.001175,0.00105,0.00105,0,0,0
0,0.000125,0,0.001175,0.00105,0.00105,0,0,0
0.0003,0.000425,0.0003,0.001175,0.00105,0.00105,0,0,0
0.0006,0.000725,0.0006,0.001175,0.00105,0.00105,0,0,0
0.0009,0.001025,0.0009,0.001175,0.00105,0.00105,0,0,0
0.0012,0.001325,0.0012,0.001175,0.00105,0.00105,0,0,0
0.0015,0.001625,0.0015,0.001175,0.00105,0.00105,0,0,0
-0.0012,-0.001075,-0.0012,0.001475,0.00135,0.00135,0,0,0
-0.0009,-0.000775,-0.0009,0.001475,0.00135,0.00135,0,0,0
-0.0006,-0.000475,-0.0006,0.001475,0.00135,0.00135,0,0,0
-0.0003,-0.000175,-0.0003,0.001475,0.00135,0.00135,0,0,0
0,0.000125,0,0.001475,0.00135,0.00135,0,0,0
0.0003,0.000425,0.0003,0.001475,0.00135,0.00135,0,0,0
0.0006,0.000725,0.0006,0.001475,0.00135,0.00135,0,0,0
0.0009,0.001025,0.0009,0.001475,0.00135,0.00135,0,0,0
0.0012,0.001325,0.0012,0.001475,0.00135,0.00135,0,0,0
-0.0009,-0.000775,-0.0009,0.001775,0.00165,0.00165,0,0,0
-0.0006,-0.000475,-0.0006,0.001775,0.00165,0.00165,0,0,0
-0.0003,-0.000175,-0.0003,0.001775,0.00165,0.00165,0,0,0
0,0.000125,0,0.001775,0.00165,0.00165,0,0,0
0.0003,0.000425,0.0003,0.001775,0.00165,0.00165,0,0,0
0.0006,0.000725,0.0006,0.001775,0.00165,0.00165,0,0,0
0.0009,0.001025,0.0009,0.001775,0.00165,0.00165,0,0,0
