n,pct_correct,metric_min,metric_max,metric_median
21,0.14285714285714285,11.485661798435627,14.815700168543884,14.392400590709542
21,0.3333333333333333,14.829582367828806,16.05276743209258,15.4137378246063
20,0.8,16.064135284614594,16.844023606559468,16.614598032463583
21,0.7619047619047619,16.8849869073919,17.245046033888713,17.066251149553512
20,0.85,17.247278448468997,17.564339310125696,17.41915974861526
21,0.38095238095238093,17.611331505493524,17.963947234316343,17.773769781225752
20,0.9,17.978326216763293,18.437740413047543,18.287108944542446
21,0.8571428571428571,18.4489938215346,18.717752403871728,18.608622922273963
20,0.7,18.762696908800667,19.20307649765398,18.993559646095683
21,0.47619047619047616,19.206070172501825,19.84084634882144,19.4102932459449
20,0.4,19.950632583160377,21.743173250242357,20.69176950359683
21,0.5238095238095238,21.90822231664074,42.84185840137528,23.665783655272264
